Date,Product_Name,Category,Location,Unit_Price_NGN,Qty_Sold,Daily_Total_NGN,Competitor_Price,Price_Gap_Pct,Delivery_Status
2025-01-01,Beans Brown (Oloyin),Grains,Abuja,4500,16,72000,3200,40.6,Critical Delay
2025-01-01,Local Rice (50kg),Grains,Enugu,120000,17,2040000,105000,14.3,On-Time
2025-01-01,Dangote Sugar 1kg,Sweeteners,Lagos (Lekki),4000,16,64000,3200,25,Delayed
2025-01-01,Dangote Sugar 1kg,Sweeteners,Lagos (Ikeja),4000,2,8000,3200,25,On-Time
2025-01-02,Yam Tuber (Large),Produce,Port Harcourt,12000,23,276000,8000,50,On-Time
2025-01-02,Beans Brown (Oloyin),Grains,Port Harcourt,4500,-2,0,3200,40.6,Delayed
2025-01-02,Frozen Turkey (kg),Meat,Abuja,11000,23,253000,8800,25,Critical Delay
2025-02-01,Indomie Super Pack,Noodles,Enugu,20000,21,420000,16800,19,Critical Delay
2025-01-03,Milo Refill 500g,Beverages,Abuja,7200,6,43200,6000,20,On-Time
2025-01-03,Indomie Super Pack,Noodles,Lagos (Ikeja),20000,13,260000,16800,19,On-Time
2025-03-01,Yellow Garri (Paint),Tubers,Kano,5500,14,77000,4200,31,Delayed
2025-01-03,Kings Oil 5L,Oils,Kano,27000,29,783000,21500,25.6,Critical Delay
2025-04-01,Local Rice (50kg),Grains,Abuja,119500,23,2748500,105000,13.8,Delayed
2025-01-04,Power Oil (Sachet),Oils,Lagos (Lekki),500,30,15000,400,25,On-Time
2025-01-04,Semovita 10kg,Swallow,Kano,10500,2,21000,9200,14.1,On-Time
2025-01-04,Frozen Turkey (kg),Meat,Lagos (Lekki),11000,22,242000,8800,25,Delayed
2025-01-05,Milo Refill 500g,Beverages,Ibadan,7200,16,115200,6000,20,Critical Delay
2025-01-05,Peak Milk 400g,Dairy,Ibadan,5800,10,58000,4900,18.4,Critical Delay
2025-01-05,Indomie Super Pack,Noodles,Kano,20000,30,600000,16800,19,On-Time
2025-05-01,Yellow Garri (Paint),Tubers,Port Harcourt,5500,14,77000,4200,31,Critical Delay
2025-01-06,Frozen Turkey (kg),Meat,Lagos (Lekki),11000,22,242000,8800,25,On-Time
2025-06-01,Local Rice (50kg),Grains,Kano,120000,19,2280000,105000,14.3,Delayed
2025-06-01,Kings Oil 5L,Oils,Enugu,27000,8,216000,21500,25.6,On-Time
2025-01-06,Beans Brown (Oloyin),Grains,Lagos (Lekki),4500,-2,0,3200,40.6,Delayed
2025-07-01,Power Oil (Sachet),Oils,Abuja,500,26,13000,400,25,Critical Delay
2025-01-07,Peak Milk 400g,Dairy,Enugu,5800,21,121800,4900,18.4,Critical Delay
2025-07-01,Yam Tuber (Large),Produce,Lagos (Lekki),12000,10,120000,8000,50,On-Time
2025-07-01,Yam Tuber (Large),Produce,Enugu,12000,26,312000,8000,50,Delayed
2025-01-08,Yellow Garri (Paint),Tubers,Abuja,5500,28,154000,4200,31,Delayed
2025-08-01,Beans Brown (Oloyin),Grains,Enugu,4500,6,27000,3200,40.6,On-Time
2025-01-08,Kings Oil 5L,Oils,Kano,27000,-1,0,21500,25.6,On-Time
2025-01-08,Local Rice (50kg),Grains,Kano,120000,16,1920000,105000,14.3,On-Time
2025-09-01,Indomie Super Pack,Noodles,Enugu,20000,30,600000,16800,19,Delayed
2025-09-01,Dangote Sugar 1kg,Sweeteners,Enugu,4000,25,100000,3200,25,On-Time
2025-01-09,Peak Milk 400g,Dairy,Port Harcourt,5800,26,150800,4900,18.4,Critical Delay
2025-09-01,Beans Brown (Oloyin),Grains,Abuja,4000,9,36000,3200,25,On-Time
2025-01-10,Semovita 10kg,Swallow,Lagos (Ikeja),10000,10,100000,9200,8.7,Delayed
2025-01-10,Semovita 10kg,Swallow,Lagos (Ikeja),10500,0,0,9200,14.1,Critical Delay
2025-01-10,Frozen Turkey (kg),Meat,Enugu,11000,11,121000,8800,25,Delayed
2025-10-01,Milo Refill 500g,Beverages,Ibadan,7200,13,93600,6000,20,On-Time
2025-01-11,Yellow Garri (Paint),Tubers,Lagos (Lekki),5500,0,0,4200,31,On-Time
2025-01-11,Frozen Turkey (kg),Meat,Abuja,10500,16,168000,8800,19.3,Delayed
2025-11-01,Yam Tuber (Large),Produce,Lagos (Ikeja),12000,19,228000,8000,50,Delayed
2025-11-01,Yellow Garri (Paint),Tubers,Lagos (Ikeja),5500,-1,0,4200,31,On-Time
2025-01-12,Indomie Super Pack,Noodles,Lagos (Ikeja),20000,8,160000,16800,19,On-Time
2025-01-12,Yam Tuber (Large),Produce,Enugu,12000,21,252000,8000,50,On-Time
2025-12-01,Semovita 10kg,Swallow,Port Harcourt,10500,1,10500,9200,14.1,Critical Delay
2025-01-12,Semovita 10kg,Swallow,Port Harcourt,10500,21,220500,9200,14.1,Delayed
2025-01-13,Frozen Turkey (kg),Meat,Abuja,11000,9,99000,8800,25,On-Time
2025-01-13,Yam Tuber (Large),Produce,Enugu,12000,28,336000,8000,50,Critical Delay
2025-01-13,Milo Refill 500g,Beverages,Port Harcourt,7200,8,57600,6000,20,Delayed
2025-01-13,Kings Oil 5L,Oils,Kano,27000,18,486000,21500,25.6,On-Time
2025-01-14,Kings Oil 5L,Oils,Abuja,27000,6,162000,21500,25.6,On-Time
2025-01-14,Yellow Garri (Paint),Tubers,Ibadan,5500,23,126500,4200,31,Delayed
2025-01-14,Semovita 10kg,Swallow,Lagos (Lekki),10500,29,304500,9200,14.1,Delayed
2025-01-14,Dangote Sugar 1kg,Sweeteners,Lagos (Lekki),4000,7,28000,3200,25,On-Time
2025-01-15,Peak Milk 400g,Dairy,Kano,5800,7,40600,4900,18.4,Delayed
2025-01-15,Yam Tuber (Large),Produce,Lagos (Ikeja),12000,20,240000,8000,50,On-Time
2025-01-15,Milo Refill 500g,Beverages,Enugu,7200,16,115200,6000,20,Critical Delay
2025-01-15,Local Rice (50kg),Grains,Ibadan,120000,19,2280000,105000,14.3,Critical Delay
2025-01-16,Yam Tuber (Large),Produce,Port Harcourt,12000,26,312000,8000,50,On-Time
2025-01-16,Local Rice (50kg),Grains,Ibadan,120000,6,720000,105000,14.3,Delayed
2025-01-16,Power Oil (Sachet),Oils,Port Harcourt,500,28,14000,400,25,Delayed
2025-01-16,Frozen Turkey (kg),Meat,Kano,11000,7,77000,8800,25,Critical Delay
2025-01-17,Kings Oil 5L,Oils,Kano,27000,25,675000,21500,25.6,Delayed
2025-01-17,Dangote Sugar 1kg,Sweeteners,Enugu,4000,19,76000,3200,25,Delayed
2025-01-17,Power Oil (Sachet),Oils,Port Harcourt,500,28,14000,400,25,On-Time
